names,cas number,smiles,kso4,kOH_rescale,chemical class,Set
"1,5-dimethylpyrimidine-2,4-dione",4160-72-9,CN1C=C(C)C(=O)NC1=O,"5,00E+09","0,920106572",Amine,train
2-Methoxy-2-methylpropane,1634-04-4,COC(C)(C)C,"1,97E+06","0,350026172",Ether,train
Did not work,14459-29-1,CC(O)c1c(C)c2[nH]c1cc3[nH]c(cc4nc(cc5nc(c2)c(C)c5CCC(O)=O)c(CCC(O)=O)c4C)c(C(C)O)c3C,"5,60E+09","0,928348076",CarboxylicAcid,train
2-hydroxypropanoate,113-21-3,CC(O)C([O-])=O,"1,60E+07","0,502346689",CarboxylicAcid,train
3-Chlorophenol,108-43-0,Oc1cccc(Cl)c1,"9,20E+09","0,964450025",Alcohol,train
NITROUS ACID,7782-77-6,ON=O,"1,60E+08","0,669795586",Nitro,train
"(2S,5R,6R)-6-[[(2R)-2-[(4-ethyl-2,3-dioxopiperazine-1-carbonyl)amino]-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",66258-76-2,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)c4ccccc4)C(=O)C1=O,"1,20E+09","0,816323629",CarboxylicAcid,train
"3,7,8,10-tetramethylbenzo[g]pteridine-2,4-dione",18636-32-3,CN1C(=O)N=C2N(C)c3cc(C)c(C)cc3N=C2C1=O,"8,00E+09","0,954286238",Amine,train
Chloroform,67-66-3,ClC(Cl)Cl,"7,37E+05","0,278525704",Halogen,train
propanoate,72-03-7,CCC([O-])=O,"4,60E+06","0,411696195",CarboxylicAcid,train
"1,7,7-trimethylbicyclo[2.2.1]heptan-6-ol",10385-78-1,CC1(C)C2CCC1(C)C(O)C2,"5,28E+08","0,756620173",Alcohol,train
1-Chloro-3-fluoro-2-methylbenzene,443-83-4,Cc1c(F)cccc1Cl,"1,20E+09","0,816323629",Halogen,train
(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,80206-30-0,N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O,"2,30E+09","0,863635743",CarboxylicAcid,train
2-hydroxybutanedioate,149-61-1,OC(CC([O-])=O)C([O-])=O,"1,50E+07","0,497653311",CarboxylicAcid,train
"[3-hydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl dihydrogen phosphate",365-07-1,CC1=CN(C2CC(O)C(CO[P](O)(O)=O)O2)C(=O)NC1=O,"1,00E+09","0,803064817",Alcohol,train
Methoxybenzene,100-66-3,COc1ccccc1,"4,90E+09","0,918637388",Ether,train
"2,3-Dimethylbutane-2,3-diol",76-09-5,CC(C)(O)C(C)(C)O,"2,60E+06","0,370204956",Alcohol,train
prop-1-en-2-yl acetate,108-22-5,CC(=C)OC(C)=O,"1,50E+09","0,832551104",Ester,train
2-Aminoacetic acid,56-40-6,NCC(O)=O,"9,00E+06","0,460504982",CarboxylicAcid,train
Pyrimidine,289-95-2,c1cncnc1,"1,00E+08","0,63561592",Amine,train
[PO3(OH)](.-),14066-19-4,O=P([O-])(O)=O,"1,20E+06","0,313976939",Phosporous,train
"1,3,5,6-tetramethylpyrimidine-2,4-dione",59264-09-4,O=C1N(C)C(C(C)=C(C)N1C)=O,"4,10E+09","0,905674797",Amine,train
2-amino-3-phenylpropanoic acid,3617-44-5,NC(Cc1ccccc1)C(O)=O,"2,70E+09","0,875296203",CarboxylicAcid,train
N-(4-aminophenyl)sulfonylacetamide,144-80-9,CC(=O)N[S](=O)(=O)c1ccc(N)cc1,"6,00E+09","0,933365385",Sulfur,train
2-Methylpropyl acetate,110-19-0,CC(C)COC(C)=O,"3,10E+07","0,550444997",Ester,train
1-Chloronaphthalene,90-13-1,Clc1cccc2ccccc12,"1,30E+09","0,822144505",Halogen,train
2-Methylpropane,75-28-5,CC(C)C,"1,10E+08","0,642547079",Alkane,train
3-Phenylpropanoic acid,501-52-0,OC(=O)CCc1ccccc1,"1,60E+09","0,837244482",CarboxylicAcid,train
formic acid,64-18-6,OC=O,"6,20E+05","0,265954345",CarboxylicAcid,train
"(6R,7R)-3-(acetyloxymethyl)-8-oxo-7-[(2-thiophen-2-ylacetyl)amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",2073-29-2,CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc3sccc3)C2=O)C(O)=O,"3,48E+09","0,893751663",CarboxylicAcid,train
7H-Purine,120-73-0,[nH]1cnc2ncncc12,"3,00E+08","0,715509348",Amine,train
1-Chloro-4-methylbenzene,106-43-4,Cc1ccc(Cl)cc1,"1,10E+09","0,809995976",Halogen,train
but-2-enoic acid,3724-65-0,C/C=C/C(O)=O,"7,70E+08","0,784057814",CarboxylicAcid,train
butyl prop-2-enoate,141-32-2,CCCCOC(=O)C=C,"2,00E+08","0,686023061",Ester,train
"1,3-dichloro-2-(dichloromethyl)benzene",81-19-6,ClC(Cl)c1c(Cl)cccc1Cl,"2,00E+08","0,686023061",Halogen,train
(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,140-43-2,N[C@@H](Cc1ccc(O)cc1)C(O)=O,"3,20E+09","0,887651623",CarboxylicAcid,train
"1,3-DIOXANE",505-22-6,C1COCOC1,"3,40E+07","0,557162582",Ether,train
"cyclohexa-2,5-diene-1,4-dione",106-51-4,O=C1C=CC(=O)C=C1,"3,50E+08","0,726719514",Ketone,train
"1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-3,5-dimethylpyrimidine-2,4-dione",958-74-7,CN1C(=O)N(C=C(C)C1=O)[C@H]2C[C@H](O)[C@@H](CO)O2,"3,50E+09","0,89416841",Alcohol,train
acetate,71-50-1,CC([O-])=O,"4,65E+06","0,412482388",CarboxylicAcid,train
"3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",61-33-6,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,"1,40E+09","0,827533795",CarboxylicAcid,train
"1,1,1-Trichloroethane",71-55-6,CC(Cl)(Cl)Cl,"1,15E+07","0,47833081",Halogen,train
Pentyl acetate,628-63-7,CCCCCOC(C)=O,"4,50E+07","0,577546738",Ester,train
Pentan-1-ol,71-41-0,CCCCCO,"1,30E+08","0,654695609",Alcohol,train
"1,2,3,4,5-pentafluoro-6-iodobenzene",827-15-6,Fc1c(F)c(F)c(I)c(F)c1F,"3,30E+08","0,722440507",Halogen,train
Oxolane,109-99-9,C1CCOC1,"2,40E+08","0,699281873",Ether,train
"1,1,1-trifluoro-2-iodoethane",353-83-3,FC(F)(F)CI,"1,40E+09","0,827533795",Halogen,train
Ethenylbenzene,100-42-5,C=Cc1ccccc1,"2,00E+09","0,853471957",Alkene,train
4-ACETYLBENZOIC ACID,586-89-0,CC(=O)c1ccc(cc1)C(O)=O,"2,00E+08","0,686023061",CarboxylicAcid,train
"(2S,5R,6R)-6-[[(2R)-2-amino-2-(4-hydroxyphenyl)acetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",26787-78-0,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(O)=O,"2,90E+09","0,880492851",CarboxylicAcid,train
4-acetyloxybutyl acetate,628-67-1,CC(=O)OCCCCOC(C)=O,"1,30E+07","0,487246712",Ester,train
"[(2S,5R)-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl dihydrogen phosphate",3715-64-8,CC1=CN([C@H]2CC[C@@H](CO[P](O)(O)=O)O2)C(=O)NC1=O,"1,60E+09","0,837244482",Phosporous,train
"7,8-dimethyl-10-(2,3,4,5-tetrahydroxypentyl)benzo[g]pteridine-2,4-dione",83-88-5,Cc1cc2N=C3C(=O)NC(=O)N=C3N(CC(O)C(O)C(O)CO)c2cc1C,"8,00E+09","0,954286238",Alcohol,train
butanedioate,56-14-4,[O-]C(=O)CCC([O-])=O,"7,10E+06","0,443260398",CarboxylicAcid,train
"3,5-dimethoxybenzoate",4069230,COc1cc(OC)cc(c1)C([O-])=O,"4,40E+09","0,910810257",CarboxylicAcid,train
1-Bromo-2-methylbenzene,95-46-5,Cc1ccccc1Br,"2,30E+09","0,863635743",Halogen,train
ethyl prop-2-enoate,140-88-5,CCOC(=O)C=C,"2,00E+08","0,686023061",Ester,train
"5-methyl-1H-pyrimidine-2,4-dione",65-71-4,CC1=CNC(=O)NC1=O,"3,10E+09","0,88534279",Amide,train
Ethylbenzene,100-41-4,CCc1ccccc1,"1,00E+09","0,803064817",Alkene,train
"2-Methyl-1,3-dinitrobenzene",606-20-2,Cc1c(cccc1[N+]([O-])=O)[N+]([O-])=O,"2,71E+07","0,540667254",Nitro,train
2-[4-(2-methylpropyl)phenyl]propanoic acid,58560-75-1,CC(C)Cc1ccc(cc1)C(C)C(O)=O,"3,80E+09","0,90014894",CarboxylicAcid,train
"[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",27416-86-0,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1CO[P](O)(O)=O)N2C=CC(=O)NC2=O,"6,00E+07","0,598467592",Alcohol,train
1-ethenoxy-2-methylpropane,109-53-5,CC(C)COC=C,"1,50E+09","0,832551104",Ether,train
Benzamide,55-21-0,NC(=O)c1ccccc1,"1,90E+08","0,682292903",Amide,train
trimethyl-phenylazanium hydroxide,3426-74-2,[OH-].C[N+](C)(C)c1ccccc1,"1,50E+08","0,665102207",Amine,train
Did not work,34787-01-4,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C([O-])=O)c3cscc3)C(=O)N2[C@H]1C([O-])=O,"8,00E+08","0,786837342",CarboxylicAcid,train
